Dataset,Accuracy,Precision,Recall,F1-score
Train Set,80.3%,81.4%,78.4%,79.9%
Validation Set,77.7%,78.5%,75.7%,77.1%
Test Set,77.3%,79.4%,74.5%,76.9%
