Dataset,Accuracy,Precision,Recall,F1-score
Train Set,89.8%,92.7%,86.5%,89.5%
Validation Set,84.6%,86.3%,82.5%,84.3%
Test Set,82.1%,82.5%,80.3%,81.4%
