Dataset,Accuracy,Precision,Recall,F1-score
Train Set,81.8%,82.9%,80.2%,81.5%
Validation Set,77.4%,78.4%,75.0%,76.7%
Test Set,77.4%,78.6%,76.2%,77.4%
