Dataset,Accuracy,Precision,Recall,F1-score
Train Set,75.6%,85.4%,62.4%,72.1%
Validation Set,68.5%,79.7%,54.7%,64.9%
Test Set,70.4%,73.6%,56.0%,63.6%
